Datetime,Buyexchange,Sellexchange,Currency,Result
Oct 23 2019 02:54:33 AM,binance,crex24,BCD/BTC,fail
Oct 23 2019 02:55:23 AM,crex24,bitz,ILC/BTC,success
Oct 23 2019 02:55:40 AM,upbit,bitmart,EDR/BTC,success
Oct 23 2019 03:13:27 AM,tidex,btcalpha,REM/BTC,fail
Oct 23 2019 03:27:20 AM,bitz,huobipro,CRE/BTC,null
Oct 23 2019 03:40:59 AM,crex24,btcalpha,TRX/BTC,success
Oct 23 2019 04:05:12 AM,digifinex,btcalpha,TRX/BTC,success
Oct 23 2019 04:11:44 AM,tidex,btcalpha,REM/BTC,success
Oct 23 2019 04:17:23 AM,crex24,bitz,ILC/BTC,success
Oct 23 2019 04:24:00 AM,poloniex,upbit,NMR/BTC,success
Oct 23 2019 03:31:11 PM,digifinex,bibox,KBC/BTC,fail
Oct 23 2019 03:31:17 PM,southxchange,binance,XMR/BTC,success
Oct 23 2019 03:31:41 PM,bittrex,livecoin,SHIFT/BTC,null
Oct 23 2019 03:32:32 PM,kucoin,livecoin,DGB/BTC,success
Oct 23 2019 04:40:04 PM,huobipro,livecoin,XZC/BTC,success
Oct 23 2019 04:40:39 PM,crex24,btcalpha,WIX/BTC,success
Oct 23 2019 04:43:05 PM,kucoin,hitbtc2,AGI/BTC,success
Oct 23 2019 05:10:39 PM,huobipro,digifinex,CMT/BTC,fail
Oct 23 2019 05:10:54 PM,bitbay,hitbtc2,NEU/BTC,success
Oct 23 2019 05:12:20 PM,binance,digifinex,THETA/BTC,success
Oct 23 2019 06:10:34 PM,bitforex,southxchange,FTO/BTC,success
Oct 23 2019 06:11:09 PM,digifinex,bitz,ILC/BTC,success
Oct 23 2019 06:11:32 PM,bitbay,bittrex,GAME/BTC,success
Oct 23 2019 06:16:34 PM,latoken,okex3,WTC/BTC,fail
Oct 23 2019 06:22:00 PM,huobipro,okex3,WTC/BTC,null
Oct 23 2019 06:31:16 PM,digifinex,bitforex,UND/BTC,fail
Oct 23 2019 06:33:26 PM,bittrex,tidex,MER/BTC,fail
Oct 23 2019 06:41:00 PM,digifinex,bitz,KBC/BTC,success
Oct 23 2019 06:46:08 PM,bigone,kucoin,XTZ/BTC,fail
Oct 23 2019 06:58:21 PM,digifinex,bitz,KBC/BTC,fail
Oct 23 2019 07:16:21 PM,bittrex,tidex,MER/BTC,success
